round,train_auc,val_auc
143,0.9827751519169545,0.9599058225063587
144,0.9828830647133043,0.9598886368323366
145,0.9829919309827272,0.9600175293875026
146,0.9831129835617977,0.9600046401319859
147,0.983218836671977,0.9600862720835911
148,0.9833643735034151,0.9601163470131299
149,0.9834915768236804,0.9602065718017461
150,0.9835695328402407,0.9602796109163402
151,0.9837047568149513,0.9602194610572626
152,0.9838007640040553,0.9603311679384066
153,0.9838851354021121,0.9603956142159895
154,0.9840034854778958,0.9604686533305836
155,0.9840793284460966,0.9606276208152884
156,0.9841747976390315,0.960640510070805
157,0.984297688007162,0.9605975458857496
158,0.9844005704340847,0.9606963635113769
159,0.9844847482523532,0.9606619921633327
160,0.9845550067928582,0.9607865882999931
161,0.9846534341466153,0.9609713342957311
162,0.9847554641145407,0.9608854059256204
163,0.9848430005937577,0.960906888018148
164,0.9849501063958516,0.9610228913177975
165,0.9850428428647409,0.9609756307142366
166,0.9850840466397717,0.9609584450402144
167,0.985197282763179,0.9610443734103251
168,0.9852857079161652,0.9610873375953805
169,0.9854052671225624,0.961211933732041
170,0.9854944203118421,0.9611689695469856
171,0.9856214798748418,0.9612377122430742
172,0.9856795202487071,0.9613021585206571
173,0.9857822180786091,0.9613709012167457
174,0.985852469539781,0.9613580119612292
175,0.9859150360473282,0.961478311679384
176,0.9859915555930664,0.9615169794459338
177,0.9860785442752293,0.9616673540936276
178,0.9861521268981375,0.9618177287413212
179,0.9862225825580945,0.9619251392039596
180,0.9863621194849365,0.9619251392039596
181,0.9864312203535851,0.9619337320409707
182,0.9865310947971615,0.9620583281776312
183,0.9866048459549955,0.9621356637107308
184,0.9867116116984893,0.9622387777548636
185,0.9867997207524175,0.9623032240324465
186,0.9868828971785276,0.9623805595655461
187,0.9869617552094054,0.9623805595655461
188,0.9870605163605485,0.9623461882175018
189,0.987165920233401,0.9625180449577232
190,0.9872469906904827,0.962483673609679
191,0.9873204045112641,0.9624493022616347
192,0.9873910749890037,0.9624922664466901
193,0.987486915279415,0.9624707843541623
194,0.9875720697121845,0.9624149309135904
195,0.9876326759114004,0.9624664879356568
196,0.9877274614474639,0.9625910840723173
197,0.9878155119633065,0.9626297518388671
198,0.987913085221834,0.9626383446758782
199,0.9879903434228628,0.962677012442428
200,0.9880260711308044,0.962797312160583
201,0.9880765082305568,0.9628102014160995
202,0.9881483524422476,0.962814497834605
203,0.9882313015281462,0.9629004262047157
204,0.98830790983273,0.9628445727641438
205,0.9883875081551285,0.9629605760637933
206,0.988453519360917,0.9629691689008043
207,0.9885342187205198,0.9629820581563209
208,0.9886120628368074,0.962926204715749
209,0.9886609213447034,0.9629691689008043
210,0.988758617122502,0.9631109507114869
211,0.9888419514645399,0.9632527325221695
212,0.9889065776582596,0.9632914002887193
213,0.9889916912512726,0.9633085859627415
214,0.989072271631271,0.9633644394033134
215,0.9891671530055101,0.9633945143328522
216,0.9892309447057633,0.9634374785179075
217,0.9893263605365072,0.9636007424211177
218,0.9894064135393317,0.963562074654568
219,0.9894568541787493,0.9636179280951399
220,0.989534472858258,0.9635749639100846
221,0.9896027231713441,0.9635792603285901
222,0.989667981563179,0.9636050388396233
223,0.9897584753851034,0.9635577782360624
224,0.9898338832746402,0.9636737815357118
225,0.9899084939708032,0.963635113769162
226,0.9899761689876261,0.9637683027428335
227,0.990037673661495,0.9637038564652506
228,0.9901222865584282,0.9637167457207672
229,0.9901728461774507,0.963635113769162
230,0.9902450508676225,0.9636694851172063
231,0.990308292049274,0.9636866707912284
232,0.9903846482359853,0.963755413487317
233,0.9904757173541714,0.9637811919983502
234,0.9905298637924684,0.9638800096239775
235,0.9905864783145066,0.9639573451570771
236,0.9906264745951587,0.9639573451570771
237,0.9906653842644728,0.9639487523200659
238,0.9907063465406275,0.9639573451570771
239,0.9907606740362809,0.9639057881350107
240,0.9908077693553005,0.9639272702275383
241,0.9908419416128148,0.9640346806901766
242,0.9908953368733909,0.9640690520382209
243,0.9909547587196577,0.9641163126417818
