seq4018	seq10416
seq4018	seq10417
seq4020	seq4020
seq4021	seq4021
seq4022	seq4022
seq4023	seq4023
seq4025	seq4025
seq4027	seq4027
seq4028	seq4028
seq4030	seq4030
seq4031	seq4031
seq4032	seq4032
seq4033	seq4033
seq4034	seq4034
seq4035	seq4035
seq4036	seq4036
seq4036	seq1657
seq4037	seq4037
seq4038	seq4038
seq4040	seq4040
seq4041	seq4041
seq4042	seq4042
seq4043	seq4043
seq4044	seq4044
seq4045	seq4045
seq4046	seq4046
seq4049	seq4049
seq4049	seq4048
seq4051	seq4051
seq4051	seq4050
seq4053	seq4053
seq4053	seq4047
seq4053	seq4052
seq4053	seq4054
seq4053	seq4055
seq4053	seq4056
seq4053	seq4057
seq4053	seq4058
seq4059	seq4059
seq4060	seq4060
seq4061	seq4061
seq4062	seq4062
seq4063	seq4063
seq4064	seq4064
seq4065	seq4065
seq4066	seq4066
seq4067	seq4067
seq4068	seq4068
seq4069	seq4069
seq4070	seq4070
seq4071	seq4071
seq4072	seq4072
seq4073	seq4073
seq4074	seq4074
seq4075	seq4075
seq4076	seq4076
seq4077	seq4077
seq4078	seq4078
seq4079	seq4079
seq4079	seq28872
seq4080	seq4080
seq4081	seq4081
seq4082	seq4082
seq4083	seq4083
seq4084	seq4084
seq4085	seq4085
seq4086	seq4086
seq4087	seq4087
seq4088	seq4088
seq4089	seq4089
seq4090	seq4090
seq4091	seq4091
seq4091	seq4092
seq4093	seq4093
seq4094	seq4094
seq4095	seq4095
seq4096	seq4096
seq4097	seq4097
seq4098	seq4098
seq4099	seq4099
seq4100	seq4100
seq4100	seq4003
seq4801	seq4801
seq4802	seq4802
seq4802	seq14512
seq4803	seq4803
seq4803	seq17569
seq4804	seq4804
seq4805	seq4805
seq4806	seq4806
seq4807	seq4807
seq4808	seq4808
seq4809	seq4809
seq4810	seq4810
seq4811	seq4811
seq4812	seq4812
seq4813	seq4813
seq4814	seq4814
seq4815	seq4815
seq4816	seq4816
seq4817	seq4817
seq4818	seq4818
seq4819	seq4819
seq4820	seq4820
seq4821	seq4821
seq4822	seq4822
seq4823	seq4823
seq4823	seq16053
seq4823	seq16257
seq4823	seq16258
seq4823	seq16262
seq4823	seq26929
seq4823	seq36434
seq4823	seq36435
seq4823	seq36436
seq4823	seq36450
seq4823	seq36471
seq4823	seq36472
seq4823	seq36438
seq4823	seq16051
seq4823	seq36443
seq4823	seq36442
seq4824	seq4824
seq4825	seq4825
seq4826	seq4826
seq4828	seq4828
seq4829	seq4829
seq4830	seq4830
seq4831	seq4831
seq4832	seq4832
seq4833	seq4833
seq4834	seq4834
seq4835	seq4835
seq4836	seq4836
seq4837	seq4837
seq4838	seq4838
seq4839	seq4839
seq4840	seq4840
seq4841	seq4841
seq4842	seq4842
seq4843	seq4843
seq4844	seq4844
seq4845	seq4845
seq4846	seq4846
seq4847	seq4847
seq4848	seq4848
seq4849	seq4849
seq4850	seq4850
seq4851	seq4851
seq4852	seq4852
seq4853	seq4853
seq4854	seq4854
seq4855	seq4855
seq4856	seq4856
seq4857	seq4857
seq4858	seq4858
seq4859	seq4859
seq4860	seq4860
seq4861	seq4861
seq4862	seq4862
seq4863	seq4863
seq4864	seq4864
seq4865	seq4865
seq4866	seq4866
seq4867	seq4867
seq4868	seq4868
seq4870	seq4870
seq4871	seq4871
seq4872	seq4872
seq4873	seq4873
seq4874	seq4874
seq4875	seq4875
seq4876	seq4876
seq4878	seq4878
seq4879	seq4879
seq4881	seq4881
seq4882	seq4882
seq4883	seq4883
seq4884	seq4884
seq4885	seq4885
seq4886	seq4886
seq4887	seq4887
seq4889	seq4889
seq4890	seq4890
seq4891	seq4891
seq4892	seq4892
seq4893	seq4893
seq4894	seq4894
seq4895	seq4895
seq4896	seq4896
seq4897	seq4897
seq4898	seq4898
seq4899	seq4899
seq4900	seq4900
seq4900	seq4606
seq5501	seq5501
seq5502	seq5502
seq5503	seq5503
seq5505	seq5505
seq5506	seq5506
seq5506	seq5507
seq5508	seq5508
seq5510	seq5510
seq5510	seq5509
seq5511	seq5511
seq5512	seq5512
seq5513	seq5513
seq5516	seq5516
seq5517	seq5517
seq5519	seq5519
seq5519	seq5520
seq5519	seq5534
seq5521	seq5521
seq5521	seq5522
seq5521	seq5523
seq5524	seq5524
seq5527	seq5527
seq5527	seq5525
seq5527	seq5526
seq5527	seq6435
seq5527	seq6501
seq5527	seq6503
seq5527	seq6504
seq5528	seq5528
seq5529	seq5529
seq5529	seq5530
seq5529	seq5532
seq5531	seq5531
seq5531	seq5533
seq5535	seq5535
seq5536	seq5536
seq5536	seq5547
seq5536	seq6559
seq5536	seq6560
seq5536	seq6377
seq5536	seq6378
seq5536	seq6400
seq5536	seq6399
seq5536	seq6401
seq5536	seq6402
seq5536	seq6441
seq5536	seq6442
seq5536	seq6446
seq5536	seq6463
seq5536	seq6462
seq5537	seq5537
seq5538	seq5538
seq5538	seq5500
seq5540	seq5540
seq5540	seq5539
seq5541	seq5541
seq5541	seq5542
seq5543	seq5543
seq5543	seq5544
seq5545	seq5545
seq5546	seq5546
seq5548	seq5548
seq5549	seq5549
seq5550	seq5550
seq5552	seq5552
seq5552	seq6316
seq5553	seq5553
seq5554	seq5554
seq5555	seq5555
seq5556	seq5556
seq5557	seq5557
seq5557	seq5558
seq5559	seq5559
seq5560	seq5560
seq5560	seq5562
seq5561	seq5561
seq5561	seq5424
seq5563	seq5563
seq5564	seq5564
seq5565	seq5565
seq5566	seq5566
seq5567	seq5567
seq5568	seq5568
seq5569	seq5569
seq5570	seq5570
seq5571	seq5571
seq5572	seq5572
seq5573	seq5573
seq5574	seq5574
seq5576	seq5576
seq5576	seq5575
seq5577	seq5577
seq5577	seq5485
seq5578	seq5578
seq5578	seq5404
seq5578	seq5580
seq5578	seq5582
seq5578	seq16687
seq5579	seq5579
seq5585	seq5585
seq5585	seq5584
seq5585	seq6772
seq5585	seq6773
seq5585	seq6784
seq5585	seq6786
seq5587	seq5587
seq5587	seq5583
seq5587	seq5586
seq5588	seq5588
seq5590	seq5590
seq5591	seq5591
seq5592	seq5592
seq5593	seq5593
seq5593	seq1653
seq5593	seq7129
seq5594	seq5594
seq5595	seq5595
seq5595	seq5589
seq5596	seq5596
seq5597	seq5597
seq5598	seq5598
seq5599	seq5599
seq5600	seq5600
seq7201	seq7201
seq7202	seq7202
seq7204	seq7204
seq7205	seq7205
seq7206	seq7206
seq7207	seq7207
seq7208	seq7208
seq7209	seq7209
seq7210	seq7210
seq7211	seq7211
seq7212	seq7212
seq7213	seq7213
seq7214	seq7214
seq7215	seq7215
seq7216	seq7216
seq7217	seq7217
seq7217	seq7218
seq7217	seq7221
seq7219	seq7219
seq7220	seq7220
seq7222	seq7222
seq7223	seq7223
seq7224	seq7224
seq7225	seq7225
seq7227	seq7227
seq7230	seq7230
seq7231	seq7231
seq7232	seq7232
seq7233	seq7233
seq7234	seq7234
seq7235	seq7235
seq7236	seq7236
seq7236	seq5279
seq7237	seq7237
seq7238	seq7238
seq7239	seq7239
seq7240	seq7240
seq7241	seq7241
seq7242	seq7242
seq7244	seq7244
seq7247	seq7247
seq7247	seq7245
seq7247	seq7246
seq7250	seq7250
seq7250	seq7249
seq7250	seq7251
seq7253	seq7253
seq7253	seq7248
seq7253	seq7252
seq7254	seq7254
seq7255	seq7255
seq7256	seq7256
seq7257	seq7257
seq7258	seq7258
seq7258	seq7259
seq7260	seq7260
seq7262	seq7262
seq7263	seq7263
seq7264	seq7264
seq7265	seq7265
seq7266	seq7266
seq7267	seq7267
seq7268	seq7268
seq7269	seq7269
seq7271	seq7271
seq7273	seq7273
seq7274	seq7274
seq7275	seq7275
seq7276	seq7276
seq7277	seq7277
seq7278	seq7278
seq7279	seq7279
seq7280	seq7280
seq7281	seq7281
seq7283	seq7283
seq7285	seq7285
seq7286	seq7286
seq7287	seq7287
seq7288	seq7288
seq7292	seq7292
seq7293	seq7293
seq7297	seq7297
seq7300	seq7300
seq7300	seq7298
seq7300	seq7299
seq7300	seq7301
seq7300	seq7303
seq7300	seq34534
seq7901	seq7901
seq7901	seq7902
seq7901	seq7903
seq7901	seq7904
seq7905	seq7905
seq7906	seq7906
seq7907	seq7907
seq7907	seq7908
seq7907	seq9168
seq7910	seq7910
seq7911	seq7911
seq7913	seq7913
seq7914	seq7914
seq7914	seq7909
seq7914	seq7912
seq7915	seq7915
seq7916	seq7916
seq7917	seq7917
seq7918	seq7918
seq7918	seq7921
seq7918	seq7922
seq7919	seq7919
seq7920	seq7920
seq7923	seq7923
seq7923	seq8049
seq7923	seq8132
seq7923	seq9827
seq7924	seq7924
seq7938	seq7938
seq7940	seq7940
seq7940	seq21571
seq7943	seq7943
seq7943	seq7945
seq7943	seq7946
seq7943	seq7947
seq7943	seq7968
seq7943	seq7970
seq7949	seq7949
seq7949	seq7941
seq7949	seq7942
seq7949	seq7948
seq7949	seq7950
seq7949	seq7951
seq7949	seq7952
seq7949	seq7967
seq7949	seq7983
seq7971	seq7971
seq7975	seq7975
seq7975	seq7857
seq7977	seq7977
seq7977	seq7973
seq7977	seq7974
seq7977	seq7976
seq7978	seq7978
seq7978	seq7979
seq7980	seq7980
seq7981	seq7981
seq7981	seq7660
